City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Saldanha,-33.0117,17.9442,51.85,72,0,15.46,ZA,2022-04-23 06:40:10,clear sky
1,Koslan,63.4564,48.8989,34.59,99,100,3.0,RU,2022-04-23 06:40:11,light snow
2,Avarua,-21.2078,-159.775,78.85,78,75,17.27,CK,2022-04-23 06:40:11,broken clouds
3,Rikitea,-23.1203,-134.9692,74.41,77,100,4.65,PF,2022-04-23 06:40:11,moderate rain
4,Bredasdorp,-34.5322,20.0403,59.56,60,22,5.28,ZA,2022-04-23 06:37:45,few clouds
5,Mataura,-46.1927,168.8643,55.47,78,100,7.4,NZ,2022-04-23 06:40:12,overcast clouds
6,Faanui,-16.4833,-151.75,79.56,76,26,5.88,PF,2022-04-23 06:40:13,light rain
7,New Norfolk,-42.7826,147.0587,63.9,53,100,5.99,AU,2022-04-23 06:40:13,overcast clouds
8,Fairbanks,64.8378,-147.7164,46.36,34,40,5.75,US,2022-04-23 06:40:13,scattered clouds
9,Severo-Kurilsk,50.6789,156.125,37.08,99,100,14.09,RU,2022-04-23 06:40:14,moderate rain
10,Hilo,19.7297,-155.09,75.27,88,75,4.61,US,2022-04-23 06:40:14,broken clouds
11,Mahebourg,-20.4081,57.7,81.25,61,40,14.97,MU,2022-04-23 06:40:14,scattered clouds
12,Albany,42.6001,-73.9662,42.31,72,89,4.34,US,2022-04-23 06:38:58,overcast clouds
13,Cape Town,-33.9258,18.4232,59.41,69,0,11.99,ZA,2022-04-23 06:40:15,clear sky
14,Hermanus,-34.4187,19.2345,56.8,66,32,9.84,ZA,2022-04-23 06:40:16,scattered clouds
15,San Patricio,28.017,-97.5169,75.29,88,33,18.48,US,2022-04-23 06:40:16,scattered clouds
16,Ahipara,-35.1667,173.1667,62.02,73,17,13.09,NZ,2022-04-23 06:40:16,few clouds
17,Coahuayana,18.7333,-103.6833,69.21,84,3,3.29,MX,2022-04-23 06:40:17,clear sky
18,Andra,62.5147,65.8878,21.61,70,99,3.36,RU,2022-04-23 06:40:17,overcast clouds
